! Gemini First Light targets
!
N2419 07 38 08.45 +38 52 55   +0.0   +0.0 J2000
N5272 13 42 11.20 +28 22 32   +0.0   +0.0 J2000
N5904 15 18 33.70 +02 04 58   +0.0   +0.0 J2000
M45   03 47 00.00 +24 07 00   +0.0   +0.0 J2000
MS0302+16 03 05 31.6 +17 10 03.3   +0.0   +0.0 J2000
HCG-31 05 01 38.0 -04 15 27   +0.0   +0.0 J2000
M42   05 35 12.80 -05 22 44   +0.0   +0.0 J2000
N2071 05 47 04.45 +00 21 44   +0.0   +0.0 J2000
MonR2 06 07 45.70 -06 22 53   +0.0   +0.0 J2000
M1-16 07 37 18.30 -09 38 43   +0.0   +0.0 J2000
N2623 08 38 24.00 +25 45 17   +0.0   +0.0 J2000
Arp299a 11 28 32.5 +58 33 43  +0.0   +0.0 J2000
Arp299b 11 28 31.0 +58 33 43  +0.0   +0.0 J2000
CL1322+31 13 24 47.2 +30 59 00   +0.0   +0.0 J2000
MS1512+36 15 14 22.4 +36 36 21   +0.0   +0.0 J2000
!
3CR184 +07 39 24.1 +70 23 11.4   +0.0   +0.0 J2000
NGC1741 +05 01 38.0 -04 15 26.6  +0.0   +0.0 J2000


  
 
